path,target,input_lengths,english_gloss,chinese_gloss,cantonese_gloss
data\features\HKSLLEX-2023-00000726.pt,2083,68,salty,鹹,鹹
data\features\HKSLLEX-2023-00000725.pt,2280,80,spicy,辣,辣
data\features\HKSLLEX-2023-00000727.pt,1723,75,oil,油,油
data\features\HKSLLEX-2023-00000728.pt,1092,64,fragrant,香,香
data\features\HKSLLEX-2023-00000729.pt,2342,76,stinky,臭,臭
data\features\HKSLLEX-2023-00000731.pt,1691,78,noodle,麵,麵
data\features\HKSLLEX-2023-00000730.pt,2034,80,rice,飯,飯
data\features\HKSLLEX-2023-00000734.pt,2090,63,sandwich,三明治,三文治
data\features\HKSLLEX-2023-00000732.pt,683,79,congee,粥,粥
data\features\HKSLLEX-2023-00000736.pt,917,58,egg,蛋,蛋
data\features\HKSLLEX-2023-00000733.pt,468,80,bread,麵包,麵包
data\features\HKSLLEX-2023-00000735.pt,2090,76,sandwich,三明治,三文治
data\features\HKSLLEX-2023-00000738.pt,2264,65,soup,湯,湯
data\features\HKSLLEX-2023-00000737.pt,2438,91,tastes bad,不好吃,唔好味
data\features\HKSLLEX-2023-00000740.pt,2250,65,soda,汽水,汽水
data\features\HKSLLEX-2023-00000739.pt,2481,86,thirsty,渴,渴
data\features\HKSLLEX-2023-00000742.pt,1599,76,milk tea,奶茶,奶茶
data\features\HKSLLEX-2023-00000741.pt,248,86,alcohol,酒,酒
data\features\HKSLLEX-2023-00000744.pt,2025,72,restaurant,餐廳,餐廳
data\features\HKSLLEX-2023-00000743.pt,649,88,coffee,咖啡,咖啡
data\features\HKSLLEX-2023-00000746.pt,745,67,dai pai dong,大排檔,大排檔
data\features\HKSLLEX-2023-00000745.pt,597,84,chinese restaurant,酒樓,酒樓
data\features\HKSLLEX-2023-00000748.pt,281,75,apple,蘋果,蘋果
data\features\HKSLLEX-2023-00000747.pt,340,81,banana,香蕉,香蕉
data\features\HKSLLEX-2023-00000749.pt,1802,69,pear,梨,梨
data\features\HKSLLEX-2023-00000751.pt,588,65,chicken,雞,雞
data\features\HKSLLEX-2023-00000750.pt,2662,71,watermelon,西瓜,西瓜
data\features\HKSLLEX-2023-00000752.pt,892,87,duck,鴨,鴨
data\features\HKSLLEX-2023-00000753.pt,1171,78,goose,鵝,鵝
data\features\HKSLLEX-2023-00000755.pt,2180,62,shrimp,蝦,蝦
data\features\HKSLLEX-2023-00000756.pt,711,58,crab,螃蟹,蟹
data\features\HKSLLEX-2023-00000754.pt,1051,68,fish,魚,魚
data\features\HKSLLEX-2023-00000759.pt,710,64,cow,牛,牛
data\features\HKSLLEX-2023-00000757.pt,711,81,crab,螃蟹,蟹
data\features\HKSLLEX-2023-00000758.pt,615,75,clam,蜆,蜆
data\features\HKSLLEX-2023-00000760.pt,1836,76,pig,豬,豬
data\features\HKSLLEX-2023-00000763.pt,1619,60,monkey,猴,猴
data\features\HKSLLEX-2023-00000764.pt,844,64,dog,狗,狗
data\features\HKSLLEX-2023-00000761.pt,2158,89,sheep,羊,羊
data\features\HKSLLEX-2023-00000766.pt,1503,64,lion,獅子,獅子
data\features\HKSLLEX-2023-00000762.pt,2234,92,snake,蛇,蛇
data\features\HKSLLEX-2023-00000767.pt,2496,66,tiger,虎,虎
data\features\HKSLLEX-2023-00000765.pt,1304,82,horse,馬,馬
data\features\HKSLLEX-2023-00000769.pt,869,62,dragon,龍,龍
data\features\HKSLLEX-2023-00000768.pt,1633,72,mouse,鼠,鼠
data\features\HKSLLEX-2023-00000770.pt,1791,72,patient,耐性,耐性
data\features\HKSLLEX-2023-00000771.pt,689,67,conservative,保守,保守
data\features\HKSLLEX-2023-00000773.pt,951,72,enthusiastic,熱心,熱心
data\features\HKSLLEX-2023-00000772.pt,1266,65,help,幫助,幫助
data\features\HKSLLEX-2023-00000774.pt,988,64,face,面子,面子
data\features\HKSLLEX-2023-00000775.pt,2594,68,unreliable,卸責,卸責
data\features\HKSLLEX-2023-00000777.pt,828,70,dislike,討厭,討厭
data\features\HKSLLEX-2023-00000776.pt,627,70,clever,聰明,聰明
data\features\HKSLLEX-2023-00000778.pt,584,80,cherish,愛惜,愛惜
data\features\HKSLLEX-2023-00000782.pt,1820,68,persistent,堅持,堅持
data\features\HKSLLEX-2023-00000780.pt,682,72,confused,糊塗,糊塗
data\features\HKSLLEX-2023-00000781.pt,973,75,excited,興奮,興奮
data\features\HKSLLEX-2023-00000779.pt,725,78,creative,創作力,創作力
data\features\HKSLLEX-2023-00000783.pt,1319,64,humble,屈就,屈就
data\features\HKSLLEX-2023-00000785.pt,1426,56,justice,公正,公正
data\features\HKSLLEX-2023-00000784.pt,2515,88,tolerant,忍讓,忍讓
data\features\HKSLLEX-2023-00000786.pt,1815,62,perfect,完美,完美
data\features\HKSLLEX-2023-00000787.pt,483,65,brown nose,拍馬屁,拍馬屁
data\features\HKSLLEX-2023-00000790.pt,1023,69,ferocious,兇惡,兇惡
data\features\HKSLLEX-2023-00000788.pt,493,80,bully,欺侮,欺侮
data\features\HKSLLEX-2023-00000791.pt,1667,78,nervous,緊張,緊張
data\features\HKSLLEX-2023-00000789.pt,2005,84,rely,依靠,依靠
data\features\HKSLLEX-2023-00000793.pt,2704,41,wicked,黑心,黑心
data\features\HKSLLEX-2023-00000792.pt,1435,70,kind,善良,善良
data\features\HKSLLEX-2023-00000794.pt,1555,52,make fun,取笑,取笑
data\features\HKSLLEX-2023-00000795.pt,2217,54,slander,中傷,中傷
data\features\HKSLLEX-2023-00000796.pt,997,67,fake,虛偽,虛偽
data\features\HKSLLEX-2023-00000797.pt,2131,64,selfish,自私,自私
data\features\HKSLLEX-2023-00000800.pt,2544,64,translate,翻譯,翻譯
data\features\HKSLLEX-2023-00000798.pt,2393,85,support,支持,支持
data\features\HKSLLEX-2023-00000799.pt,2616,81,vernacular sign,自然手語,自然手語
data\features\HKSLLEX-2023-00000801.pt,1504,95,lip-read,唇讀,唇讀
data\features\HKSLLEX-2023-00000803.pt,1355,78,inaudible,聽不到,聽不到
data\features\HKSLLEX-2023-00000802.pt,2263,85,sound,聲音,聲音
data\features\HKSLLEX-2023-00000805.pt,2274,64,speak,說話,說話
data\features\HKSLLEX-2023-00000804.pt,1931,78,pronounce,讀音,發音
data\features\HKSLLEX-2023-00000807.pt,2232,58,smooth,流暢,流暢
data\features\HKSLLEX-2023-00000808.pt,1347,69,impact,影響,影響
data\features\HKSLLEX-2023-00000806.pt,936,72,emotions,表情,表情
data\features\HKSLLEX-2023-00000809.pt,625,62,clear,清楚,清楚
data\features\HKSLLEX-2023-00000810.pt,663,73,comfortable,舒服,舒服
data\features\HKSLLEX-2023-00000811.pt,1124,77,fuzzy,矇查查,矇查查
data\features\HKSLLEX-2023-00000812.pt,223,70,active,主動,主動
data\features\HKSLLEX-2023-00000813.pt,1788,66,passive,被動,被動
data\features\HKSLLEX-2023-00000814.pt,804,72,difference,差異,差異
data\features\HKSLLEX-2023-00000816.pt,2374,70,substantial,內涵,內涵
data\features\HKSLLEX-2023-00000815.pt,2389,73,superficial,表面,表面
data\features\HKSLLEX-2023-00000817.pt,283,70,appropriate,適合,適合
data\features\HKSLLEX-2023-00000818.pt,568,61,change,改變,改變
data\features\HKSLLEX-2023-00000819.pt,938,76,employ,招聘,招聘
data\features\HKSLLEX-2023-00000820.pt,1388,87,interview,面試,面試
data\features\HKSLLEX-2023-00000821.pt,1365,80,information,資料,資料
data\features\HKSLLEX-2023-00000822.pt,694,70,contract,合約,合約
data\features\HKSLLEX-2023-00000823.pt,1357,72,income,收入,收入
data\features\HKSLLEX-2023-00000824.pt,2679,70,welfare,福利,福利
data\features\HKSLLEX-2023-00000826.pt,1474,61,leave of absence,事假,事假
data\features\HKSLLEX-2023-00000825.pt,273,73,annual leave,年假,年假
data\features\HKSLLEX-2023-00000827.pt,2188,59,sick leave,病假,病假
data\features\HKSLLEX-2023-00000830.pt,1796,60,pay salary,出糧,出糧
data\features\HKSLLEX-2023-00000828.pt,2426,69,take leave,請假,請假
data\features\HKSLLEX-2023-00000831.pt,2373,60,subsidy,津貼,津貼
data\features\HKSLLEX-2023-00000829.pt,1560,76,mandatory provident fund,強積金,強積金
data\features\HKSLLEX-2023-00000832.pt,440,69,bonus,花紅,花紅
data\features\HKSLLEX-2023-00000833.pt,940,60,end of year bonus,雙糧,雙糧
data\features\HKSLLEX-2023-00000834.pt,665,68,commission,佣金,佣金
data\features\HKSLLEX-2023-00000835.pt,2547,82,travel allowance,交通津貼,交通津貼
data\features\HKSLLEX-2023-00000837.pt,782,72,dental,牙科,牙科
data\features\HKSLLEX-2023-00000836.pt,1575,76,meal allowance,膳食津貼,膳食津貼
data\features\HKSLLEX-2023-00000838.pt,1251,68,healthcare,醫療,醫療
data\features\HKSLLEX-2023-00000839.pt,1953,76,putonghua,普通話,普通話
data\features\HKSLLEX-2023-00000840.pt,535,81,cantonese,粵語,粵語
data\features\HKSLLEX-2023-00000841.pt,2161,81,shift work,輪班,輪班
data\features\HKSLLEX-2023-00000842.pt,756,72,day off rotation,輪休,輪休
data\features\HKSLLEX-2023-00000847.pt,2018,60,resign,辭職,辭職
data\features\HKSLLEX-2023-00000843.pt,978,76,experience,經驗,經驗
data\features\HKSLLEX-2023-00000848.pt,829,48,dismiss,解僱,解僱
data\features\HKSLLEX-2023-00000846.pt,470,80,break contract,毀約,毀約
data\features\HKSLLEX-2023-00000845.pt,656,82,collaboration,合作,合作
data\features\HKSLLEX-2023-00000844.pt,1739,95,opportunity,機會,機會
data\features\HKSLLEX-2023-00000850.pt,2028,76,retire,退休,退休
data\features\HKSLLEX-2023-00000849.pt,829,89,dismiss,解僱,解僱
data\features\HKSLLEX-2023-00000852.pt,1910,56,pressure,壓力,壓力
data\features\HKSLLEX-2023-00000855.pt,962,56,establish,成立,成立
data\features\HKSLLEX-2023-00000853.pt,1757,64,overtime,加班,加班
data\features\HKSLLEX-2023-00000851.pt,2134,80,send letter,寄信,寄信
data\features\HKSLLEX-2023-00000856.pt,634,69,close down,倒閉,倒閉
data\features\HKSLLEX-2023-00000854.pt,134,90,Selective Placement Division,展能就業科,展能就業科
data\features\HKSLLEX-2023-00000857.pt,2338,68,still,仍然,仍然
data\features\HKSLLEX-2023-00000858.pt,2600,70,used to be,本來,本來
data\features\HKSLLEX-2023-00000860.pt,2648,60,want,想,想
data\features\HKSLLEX-2023-00000859.pt,503,68,but,但是,但是
data\features\HKSLLEX-2023-00000862.pt,266,68,an instant,彈指間,彈指間
data\features\HKSLLEX-2023-00000863.pt,2379,55,suddenly,突然,忽然
data\features\HKSLLEX-2023-00000861.pt,2497,86,time,光陰,光陰
data\features\HKSLLEX-2023-00000865.pt,1679,60,next time,下次,下次
data\features\HKSLLEX-2023-00000866.pt,1079,58,forever,永遠,永遠
data\features\HKSLLEX-2023-00000864.pt,2454,74,temporarily,暫時,暫時
data\features\HKSLLEX-2023-00000867.pt,1075,77,for a long time,很長時間,很久
data\features\HKSLLEX-2023-00000868.pt,895,81,dusk,黃昏,黃昏
data\features\HKSLLEX-2023-00000870.pt,751,64,date,約會,約會
data\features\HKSLLEX-2023-00000871.pt,392,63,best friends,死黨,死黨
data\features\HKSLLEX-2023-00000872.pt,590,60,childhood,小時候,小時候
data\features\HKSLLEX-2023-00000869.pt,754,94,dawn,清晨,清晨
data\features\HKSLLEX-2023-00000874.pt,691,68,contact,聯繫,聯絡
data\features\HKSLLEX-2023-00000873.pt,972,72,exchange,交換,交換
data\features\HKSLLEX-2023-00000876.pt,2062,59,round,圓,圓
data\features\HKSLLEX-2023-00000875.pt,2295,72,square,方,方
data\features\HKSLLEX-2023-00000877.pt,741,66,curved,彎,彎
data\features\HKSLLEX-2023-00000878.pt,2352,67,straight,直,直
data\features\HKSLLEX-2023-00000880.pt,1656,61,narrow,窄,窄
data\features\HKSLLEX-2023-00000879.pt,2705,67,wide,寬,闊
data\features\HKSLLEX-2023-00000881.pt,211,64,above,上,上
data\features\HKSLLEX-2023-00000882.pt,389,74,beneath,下,下
data\features\HKSLLEX-2023-00000885.pt,1114,52,front,前,前
data\features\HKSLLEX-2023-00000883.pt,1476,65,left,左,左
data\features\HKSLLEX-2023-00000884.pt,2040,65,right,右,右
data\features\HKSLLEX-2023-00000889.pt,908,53,east,東,東
data\features\HKSLLEX-2023-00000887.pt,1371,78,inside,內,內
data\features\HKSLLEX-2023-00000886.pt,324,87,back,後,後
data\features\HKSLLEX-2023-00000888.pt,1751,84,outside,外,外
data\features\HKSLLEX-2023-00000890.pt,2267,59,south,南,南
data\features\HKSLLEX-2023-00000892.pt,1695,68,north,北,北
data\features\HKSLLEX-2023-00000893.pt,559,60,center,中,中
data\features\HKSLLEX-2023-00000891.pt,2682,77,west,西,西
data\features\HKSLLEX-2023-00000894.pt,260,71,almost,差不多,差唔多
data\features\HKSLLEX-2023-00000896.pt,2417,82,swimming pool,泳池,泳池
data\features\HKSLLEX-2023-00000895.pt,1782,92,park,公園,公園
data\features\HKSLLEX-2023-00000898.pt,32,82,Disneyland Resort,迪士尼樂園,迪士尼樂園
data\features\HKSLLEX-2023-00000899.pt,108,72,Ocean Park,海洋公園,海洋公園
data\features\HKSLLEX-2023-00000897.pt,2289,100,sports ground,運動場,運動場
data\features\HKSLLEX-2023-00000901.pt,1877,85,police station,警署,警署
data\features\HKSLLEX-2023-00000902.pt,2304,79,staircase,樓梯,樓梯
data\features\HKSLLEX-2023-00000900.pt,1306,101,hospital,醫院,醫院
data\features\HKSLLEX-2023-00000905.pt,1340,59,illness,病,病
data\features\HKSLLEX-2023-00000903.pt,1492,73,lift,升降機,升降機
data\features\HKSLLEX-2023-00000907.pt,1922,60,problem,問題,問題
data\features\HKSLLEX-2023-00000906.pt,1340,69,illness,病,病
data\features\HKSLLEX-2023-00000904.pt,959,85,escalator,扶手電梯,扶手電梯
data\features\HKSLLEX-2023-00000908.pt,2430,73,take temperature,探熱,探熱
data\features\HKSLLEX-2023-00000909.pt,420,68,blood,血,血
data\features\HKSLLEX-2023-00000910.pt,873,78,draw blood,抽血,抽血
data\features\HKSLLEX-2023-00000911.pt,1369,70,injection,打針,打針
data\features\HKSLLEX-2023-00000915.pt,2516,67,tolerate,忍耐,忍耐
data\features\HKSLLEX-2023-00000914.pt,941,68,endure,忍受,忍受
data\features\HKSLLEX-2023-00000912.pt,1369,84,injection,打針,打針
data\features\HKSLLEX-2023-00000913.pt,1766,86,pain,痛,痛
data\features\HKSLLEX-2023-00000917.pt,1839,47,pill,藥丸,藥丸
data\features\HKSLLEX-2023-00000916.pt,1580,72,medicine,藥水,藥水
data\features\HKSLLEX-2023-00000918.pt,2219,68,sleepy,眼瞓,眼睏
data\features\HKSLLEX-2023-00000919.pt,2668,76,weak and frail,衰弱,衰弱
data\features\HKSLLEX-2023-00000924.pt,1213,64,habit,習慣,習慣
data\features\HKSLLEX-2023-00000920.pt,1252,78,healthy and strong,壯健,壯健
data\features\HKSLLEX-2023-00000922.pt,810,85,digest,消化,消化
data\features\HKSLLEX-2023-00000923.pt,2347,74,stomach,胃,胃
data\features\HKSLLEX-2023-00000921.pt,839,88,dizzy,暈眩,暈眩
data\features\HKSLLEX-2023-00000925.pt,825,83,discomfort,不適,不適
data\features\HKSLLEX-2023-00000926.pt,1348,78,impairment,障礙,障礙
data\features\HKSLLEX-2023-00000928.pt,2598,51,urinate,小便,小便
data\features\HKSLLEX-2023-00000927.pt,770,72,defecate,大便,大便
data\features\HKSLLEX-2023-00000931.pt,655,53,cold,感冒,感冒
data\features\HKSLLEX-2023-00000929.pt,800,84,diarrhea,腹瀉,肚瀉
data\features\HKSLLEX-2023-00000932.pt,2690,75,wheelchair,輪椅,輪椅
data\features\HKSLLEX-2023-00000930.pt,2635,80,vomit,嘔吐,嘔吐
data\features\HKSLLEX-2023-00000933.pt,417,70,blind,盲,盲
data\features\HKSLLEX-2023-00000934.pt,820,67,disabled person,殘疾人,殘疾人士
data\features\HKSLLEX-2023-00000935.pt,1047,60,first aid,急救,急救
data\features\HKSLLEX-2023-00000936.pt,2014,67,rescue,拯救,拯救
data\features\HKSLLEX-2023-00000938.pt,2397,54,surgery,手術,手術
data\features\HKSLLEX-2023-00000937.pt,1307,72,hospitalize,送院,送院
data\features\HKSLLEX-2023-00000939.pt,528,60,cancer,癌,癌
data\features\HKSLLEX-2023-00000940.pt,1025,72,fever,發燒,發燒
data\features\HKSLLEX-2023-00000941.pt,1987,61,recover,康復,康復
data\features\HKSLLEX-2023-00000942.pt,2185,56,shy,害羞,害羞
data\features\HKSLLEX-2023-00000943.pt,428,77,blushing,面紅,面紅
data\features\HKSLLEX-2023-00000945.pt,2104,63,scared,害怕,害怕
data\features\HKSLLEX-2023-00000944.pt,1770,72,pale faced,面色青青,面青青
data\features\HKSLLEX-2023-00000946.pt,2106,65,scary,恐怖,恐怖
data\features\HKSLLEX-2023-00000947.pt,1193,64,greedy,貪心,貪心
data\features\HKSLLEX-2023-00000948.pt,1193,55,greedy,貪心,貪心
data\features\HKSLLEX-2023-00000950.pt,1826,60,petty,小氣,小氣
data\features\HKSLLEX-2023-00000949.pt,2341,87,stingy,吝嗇,孤寒
data\features\HKSLLEX-2023-00000953.pt,2706,64,wide eyed,眼睛凸凸,眼凸凸
data\features\HKSLLEX-2023-00000954.pt,1875,66,pointless,無謂,無謂
data\features\HKSLLEX-2023-00000955.pt,1407,60,jealous,嫉妒,嫉妒
data\features\HKSLLEX-2023-00000952.pt,1542,80,lustful,好色,好色
data\features\HKSLLEX-2023-00000951.pt,1203,88,grudgeful,記仇,記仇
data\features\HKSLLEX-2023-00000956.pt,2587,69,unexpected,出乎意料,出乎意料
data\features\HKSLLEX-2023-00000957.pt,1408,64,jealous in love,呷醋,呷醋
data\features\HKSLLEX-2023-00000959.pt,1276,60,hilarious,搞笑,搞笑
data\features\HKSLLEX-2023-00000958.pt,297,76,asking for trouble,自討苦吃,自討苦吃
data\features\HKSLLEX-2023-00000963.pt,947,59,engrossed,投入,投入
data\features\HKSLLEX-2023-00000961.pt,1416,74,joking,玩東西,玩嘢
data\features\HKSLLEX-2023-00000960.pt,1616,75,moleitau,無厘頭,無厘頭
data\features\HKSLLEX-2023-00000962.pt,2529,72,touching,感人,感人
data\features\HKSLLEX-2023-00000964.pt,275,70,anticipating,期待,期待
data\features\HKSLLEX-2023-00000965.pt,1376,88,instinct,直覺,直覺
data\features\HKSLLEX-2023-00000967.pt,2582,64,unafraid,不怕,不怕
data\features\HKSLLEX-2023-00000966.pt,2514,77,toil,捱過苦,捱苦
data\features\HKSLLEX-2023-00000968.pt,1997,72,regretful,後悔,後悔
data\features\HKSLLEX-2023-00000969.pt,336,78,balance,平衡,平衡
data\features\HKSLLEX-2023-00000970.pt,984,86,express delivery,速遞,速遞
data\features\HKSLLEX-2023-00000971.pt,317,97,awkward,靦腆,靦腆
data\features\HKSLLEX-2023-00000972.pt,1225,144,hamburger,漢堡包,漢堡包
data\features\HKSLLEX-2023-00000975.pt,783,163,dentist,牙醫,牙醫
data\features\HKSLLEX-2023-00000974.pt,2492,173,tie,領呔,領呔
data\features\HKSLLEX-2023-00000973.pt,736,182,cup,杯,杯
data\features\HKSLLEX-2023-00000977.pt,564,182,chair,椅子,凳
data\features\HKSLLEX-2023-00000976.pt,564,202,chair,椅子,凳
data\features\HKSLLEX-2023-00000978.pt,530,192,candy,糖果,糖果
data\features\HKSLLEX-2023-00000980.pt,2110,192,scientist,科學家,科學家
data\features\HKSLLEX-2023-00000979.pt,2110,240,scientist,科學家,科學家
data\features\HKSLLEX-2023-00000981.pt,1776,173,parachute,降落傘,降落傘
data\features\HKSLLEX-2023-00000985.pt,1773,115,paper,紙,紙
data\features\HKSLLEX-2023-00000982.pt,549,182,cat,貓,貓
data\features\HKSLLEX-2023-00000984.pt,1397,125,island,島,島
data\features\HKSLLEX-2023-00000983.pt,2057,182,room,房間,房間
data\features\HKSLLEX-2023-00000986.pt,441,134,book,書,書
data\features\HKSLLEX-2023-00000987.pt,2163,125,shirt,襯衫,恤衫
data\features\HKSLLEX-2023-00000988.pt,2048,115,rock,石,石
data\features\HKSLLEX-2023-00000989.pt,2048,134,rock,石,石
data\features\HKSLLEX-2023-00000990.pt,815,144,dinosaur,恐龍,恐龍
data\features\HKSLLEX-2023-00000992.pt,504,144,butter,牛油,牛油
data\features\HKSLLEX-2023-00000994.pt,2545,125,trash,垃圾,垃圾
data\features\HKSLLEX-2023-00000993.pt,504,144,butter,牛油,牛油
data\features\HKSLLEX-2023-00000991.pt,815,173,dinosaur,恐龍,恐龍
data\features\HKSLLEX-2023-00000996.pt,2111,125,scissors,剪刀,剪刀
data\features\HKSLLEX-2023-00000995.pt,2172,125,shorts,短褲,短褲
data\features\HKSLLEX-2023-00001001.pt,523,96,camping,露營,露營
data\features\HKSLLEX-2023-00000997.pt,402,134,bird,小鳥,小鳥
data\features\HKSLLEX-2023-00000999.pt,2271,134,spaghetti,意粉,意粉
data\features\HKSLLEX-2023-00000998.pt,2271,144,spaghetti,意粉,意粉
data\features\HKSLLEX-2023-00001000.pt,455,134,bowtie,褒呔,褒呔
data\features\HKSLLEX-2023-00001003.pt,2313,125,stars,星星,星星
data\features\HKSLLEX-2023-00001002.pt,2215,154,skirt,短裙,短裙
data\features\HKSLLEX-2023-00001004.pt,2395,144,surf,衝浪,衝浪
data\features\HKSLLEX-2023-00001005.pt,2723,115,wolf,狼,狼
data\features\HKSLLEX-2023-00001007.pt,1598,134,milk,牛奶,牛奶
data\features\HKSLLEX-2023-00001006.pt,1598,154,milk,牛奶,牛奶
data\features\HKSLLEX-2023-00001008.pt,1598,134,milk,牛奶,牛奶
data\features\HKSLLEX-2023-00001009.pt,2241,144,snow,雪,雪
data\features\HKSLLEX-2023-00001012.pt,861,115,dormitory,宿舍,宿舍
data\features\HKSLLEX-2023-00001010.pt,2241,144,snow,雪,雪
data\features\HKSLLEX-2023-00001011.pt,1772,134,pants,長褲,長褲
data\features\HKSLLEX-2023-00001013.pt,2639,163,waiter,侍應,侍應
data\features\HKSLLEX-2023-00001017.pt,334,106,bag,袋子,袋
data\features\HKSLLEX-2023-00001016.pt,1720,125,office,辦公室,寫字樓
data\features\HKSLLEX-2023-00001015.pt,2358,134,street,街道,街道
data\features\HKSLLEX-2023-00001014.pt,2639,144,waiter,侍應,侍應
data\features\HKSLLEX-2023-00001018.pt,798,115,diamond,鑽石,鑽石
data\features\HKSLLEX-2023-00001019.pt,1452,125,language,語言,語言
data\features\HKSLLEX-2023-00001020.pt,2357,134,strawberry,草莓,草莓
data\features\HKSLLEX-2023-00001021.pt,1477,115,lemon,檸檬,檸檬
data\features\HKSLLEX-2023-00001023.pt,1929,106,promise,承諾,承諾
data\features\HKSLLEX-2023-00001022.pt,1798,134,peach,蜜桃,蜜桃
data\features\HKSLLEX-2023-00001025.pt,484,144,brush,梳頭,梳頭
data\features\HKSLLEX-2023-00001026.pt,1835,134,pie,批,批
data\features\HKSLLEX-2023-00001024.pt,484,154,brush,梳頭,梳頭
data\features\HKSLLEX-2023-00001028.pt,760,115,death,死亡,死亡
data\features\HKSLLEX-2023-00001027.pt,1965,125,radio,收音機,收音機
data\features\HKSLLEX-2023-00001029.pt,295,115,asia,亞洲,亞洲
data\features\HKSLLEX-2023-00001031.pt,796,144,devil,魔鬼,魔鬼
data\features\HKSLLEX-2023-00001030.pt,796,163,devil,魔鬼,魔鬼
data\features\HKSLLEX-2023-00001034.pt,874,115,drawer,櫃桶,櫃桶
data\features\HKSLLEX-2023-00001033.pt,1914,125,pride,自豪,自豪
data\features\HKSLLEX-2023-00001036.pt,2245,125,soap,肥皂,番梘
data\features\HKSLLEX-2023-00001035.pt,1486,134,lettuce,生菜,生菜
data\features\HKSLLEX-2023-00001032.pt,796,154,devil,魔鬼,魔鬼
data\features\HKSLLEX-2023-00001037.pt,1102,163,frenchfries,薯條,薯條
data\features\HKSLLEX-2023-00001040.pt,1871,154,plunger,通渠泵,通渠泵
data\features\HKSLLEX-2023-00001038.pt,785,163,deodorant,除臭劑,止汗劑
data\features\HKSLLEX-2023-00001039.pt,785,163,deodorant,除臭劑,止汗劑
data\features\HKSLLEX-2023-00001041.pt,2177,163,shovel,鏟,鏟
data\features\HKSLLEX-2023-00001042.pt,2177,163,shovel,鏟,鏟
data\features\HKSLLEX-2023-00001043.pt,1972,173,razor,剃鬚刀,剃鬚刀
data\features\HKSLLEX-2023-00001044.pt,1921,202,prison,監獄,監獄
data\features\HKSLLEX-2023-00001045.pt,1921,134,prison,監獄,監獄
data\features\HKSLLEX-2023-00001046.pt,1921,125,prison,監獄,監獄
data\features\HKSLLEX-2023-00001048.pt,2179,125,shower,洗澡,沖涼
data\features\HKSLLEX-2023-00001047.pt,2179,134,shower,洗澡,沖涼
data\features\HKSLLEX-2023-00001049.pt,799,144,diaper,尿片,尿片
data\features\HKSLLEX-2023-00001050.pt,2089,154,sandals,涼鞋,涼鞋
data\features\HKSLLEX-2023-00001051.pt,927,134,electrician,電工,電工
data\features\HKSLLEX-2023-00001053.pt,579,144,cheat,作弊,出貓
data\features\HKSLLEX-2023-00001052.pt,2396,163,surgeon,外科醫生,外科醫生
data\features\HKSLLEX-2023-00001054.pt,579,144,cheat,作弊,出貓
data\features\HKSLLEX-2023-00001055.pt,2567,154,turtle,烏龜,烏龜
data\features\HKSLLEX-2023-00001056.pt,1331,154,icecream,雪糕,雪糕
data\features\HKSLLEX-2023-00001057.pt,1331,134,icecream,雪糕,雪糕
data\features\HKSLLEX-2023-00001059.pt,401,154,biology,生物學,生物學
data\features\HKSLLEX-2023-00001058.pt,561,163,cereal,穀物片,穀物片
data\features\HKSLLEX-2023-00001060.pt,1441,144,kitchen,廚房,廚房
data\features\HKSLLEX-2023-00001062.pt,2418,134,swing,搖擺,搖擺
data\features\HKSLLEX-2023-00001061.pt,1166,173,golf,高爾夫球,高爾夫球
data\features\HKSLLEX-2023-00001063.pt,1840,134,pillow,枕頭,枕頭
data\features\HKSLLEX-2023-00001064.pt,1743,134,orange,橙,橙
data\features\HKSLLEX-2023-00001065.pt,1743,144,orange,橙,橙
data\features\HKSLLEX-2023-00001066.pt,1743,134,orange,橙,橙
data\features\HKSLLEX-2023-00001068.pt,1743,134,orange,橙,橙
data\features\HKSLLEX-2023-00001067.pt,1743,163,orange,橙,橙
data\features\HKSLLEX-2023-00001069.pt,1743,144,orange,橙,橙
data\features\HKSLLEX-2023-00001070.pt,582,134,cheese,芝士,芝士
data\features\HKSLLEX-2023-00001072.pt,2581,144,umbrella,雨傘,雨傘
data\features\HKSLLEX-2023-00001073.pt,1161,134,goat,山羊,山羊
data\features\HKSLLEX-2023-00001071.pt,582,154,cheese,芝士,芝士
data\features\HKSLLEX-2023-00001074.pt,740,144,curtain,窗簾,窗簾
data\features\HKSLLEX-2023-00001075.pt,418,125,blinds,百葉簾,百葉簾
data\features\HKSLLEX-2023-00001076.pt,418,154,blinds,百葉簾,百葉簾
data\features\HKSLLEX-2023-00001078.pt,1073,144,football,足球,足球
data\features\HKSLLEX-2023-00001077.pt,1150,154,gloves,手套,手套
data\features\HKSLLEX-2023-00001079.pt,1073,134,football,足球,足球
data\features\HKSLLEX-2023-00001081.pt,1442,125,kite,風箏,風箏
data\features\HKSLLEX-2023-00001080.pt,1864,134,playground,操場,操場
data\features\HKSLLEX-2023-00001082.pt,747,125,dancer,舞蹈員,舞蹈員
data\features\HKSLLEX-2023-00001083.pt,1054,125,fishing,釣魚,釣魚
data\features\HKSLLEX-2023-00001084.pt,2287,134,spoon,湯匙,湯匙
data\features\HKSLLEX-2023-00001085.pt,359,134,bathroom,浴室,浴室
data\features\HKSLLEX-2023-00001088.pt,2451,125,telephone,電話,電話
data\features\HKSLLEX-2023-00001086.pt,359,154,bathroom,浴室,浴室
